ID,Name,Age,Email,Join Date,City
1210,Frank,65,user.name@site.org,15-01-2023,SF
1785,Eve,29,,2023-01-15,SF
1823,Diana,43,example@domain.com,2023-01-15,LA
1983,Alice,53,user.name@site.org,01/17/2023,San Francisco
1943,,,invalid@,15-01-2023,LA
1229,Bob,77,,01/17/2023,San Francisco
1898,Alice,82,example@domain.com,Invalid Date,Los Angeles
1333,Charlie,26,invalid@,15-01-2023,SF
1259,Diana,96,example@domain.com,2023-01-16,Los Angeles
1423,Frank,50,invalid@,2023-01-16,NY
1910,Alice,89,,2023-01-16,New York
1155,,,,Invalid Date,San Francisco
1792,Frank,67,,2023-01-15,LA
1119,,,invalid@,2023-01-16,San Francisco
1088,Frank,3,,2023-01-15,New York
1124,Alice,37,example@domain.com,15-01-2023,NY
1327,Alice,82,user.name@site.org,Invalid Date,SF
1689,Frank,,user.name@site.org,2023-01-15,SF
1532,Alice,,,2023-01-16,NY
1234,Frank,,,2023-01-16,New York
1514,Eve,,,Invalid Date,New York
1572,Diana,,user.name@site.org,15-01-2023,
1319,Bob,,,2023-01-16,
1643,Eve,28,user.name@site.org,Invalid Date,New York
1798,Eve,,user.name@site.org,15-01-2023,Los Angeles
1076,Charlie,16,,01/17/2023,SF
1865,Alice,73,example@domain.com,2023-01-16,SF
1586,Diana,67,example@domain.com,15-01-2023,New York
1602,Bob,57,,01/17/2023,SF
1476,Charlie,,,2023-01-16,
1896,Eve,,invalid@,15-01-2023,New York
1101,Eve,,user.name@site.org,01/17/2023,SF
1163,Frank,73,,2023-01-16,NY
1739,Bob,73,user.name@site.org,01/17/2023,New York
1918,Charlie,,,2023-01-15,New York
1132,Eve,78,example@domain.com,Invalid Date,NY
1408,Charlie,,example@domain.com,2023-01-16,New York
1390,Diana,,example@domain.com,2023-01-15,SF
1821,Alice,34,,2023-01-16,Los Angeles
1076,Alice,41,,15-01-2023,LA
1830,,24,,01/17/2023,
1787,Charlie,26,user.name@site.org,Invalid Date,NY
1116,Bob,1,user.name@site.org,2023-01-15,LA
1045,Alice,4,example@domain.com,15-01-2023,San Francisco
1049,Alice,49,,2023-01-16,NY
1593,Charlie,38,,2023-01-16,Los Angeles
1237,Diana,64,invalid@,Invalid Date,Los Angeles
1622,Bob,,user.name@site.org,2023-01-15,SF
1897,Diana,89,invalid@,Invalid Date,New York
1580,Charlie,11,user.name@site.org,2023-01-16,Los Angeles
1996,Bob,,,Invalid Date,San Francisco
1644,Bob,66,,15-01-2023,LA
1287,Eve,64,example@domain.com,15-01-2023,San Francisco
1951,,99,,01/17/2023,New York
1231,,18,invalid@,Invalid Date,New York
1300,Bob,63,example@domain.com,15-01-2023,
1848,Charlie,56,,15-01-2023,San Francisco
1842,Eve,,user.name@site.org,01/17/2023,San Francisco
1875,Eve,32,,15-01-2023,San Francisco
1472,,34,,15-01-2023,SF
1266,Charlie,63,example@domain.com,2023-01-15,San Francisco
1073,,2,invalid@,Invalid Date,LA
1557,,76,,15-01-2023,SF
1005,Bob,82,invalid@,2023-01-16,New York
1981,Frank,4,,Invalid Date,
1361,Frank,28,invalid@,15-01-2023,NY
1750,Diana,34,,15-01-2023,Los Angeles
1435,Eve,,example@domain.com,2023-01-16,San Francisco
1301,Alice,9,invalid@,2023-01-16,NY
1054,Diana,53,,01/17/2023,San Francisco
1441,Frank,,,01/17/2023,San Francisco
1966,,91,,2023-01-15,New York
1889,Alice,,,01/17/2023,
1530,Diana,15,example@domain.com,2023-01-16,Los Angeles
1996,Bob,,,Invalid Date,San Francisco
1870,Alice,66,invalid@,15-01-2023,SF
1135,Charlie,97,,15-01-2023,San Francisco
1298,Charlie,,example@domain.com,2023-01-16,
1093,Charlie,46,,2023-01-15,SF
1579,Bob,,invalid@,2023-01-15,NY
1857,Alice,65,invalid@,2023-01-15,Los Angeles
1723,Eve,27,example@domain.com,01/17/2023,SF
1318,,92,,2023-01-15,Los Angeles
1037,Bob,71,example@domain.com,2023-01-15,SF
1013,Eve,12,,01/17/2023,SF
1377,Bob,34,,15-01-2023,LA
1969,Alice,78,,Invalid Date,New York
1203,Eve,48,example@domain.com,2023-01-16,New York
1930,Alice,8,invalid@,Invalid Date,SF
1375,Bob,51,user.name@site.org,Invalid Date,NY
1322,Alice,,user.name@site.org,2023-01-15,Los Angeles
1840,Bob,61,user.name@site.org,15-01-2023,New York
1346,Bob,,user.name@site.org,01/17/2023,San Francisco
1143,Eve,77,,Invalid Date,SF
1736,Alice,30,,01/17/2023,SF
1436,Charlie,82,invalid@,Invalid Date,SF
1227,Frank,40,user.name@site.org,15-01-2023,San Francisco
1775,Alice,65,user.name@site.org,01/17/2023,NY
1748,Alice,35,,01/17/2023,New York
1917,,,,2023-01-16,New York
1214,Eve,76,,15-01-2023,NY
1059,Charlie,63,,15-01-2023,
1457,Diana,,,2023-01-15,LA
1798,Eve,35,,01/17/2023,San Francisco
1611,Alice,,user.name@site.org,15-01-2023,LA
1067,,41,,01/17/2023,San Francisco
1945,Eve,97,,2023-01-15,New York
1433,Bob,,example@domain.com,2023-01-16,New York
1021,,65,user.name@site.org,Invalid Date,SF
1046,Alice,11,,2023-01-15,New York
1205,Frank,50,,Invalid Date,LA
1945,,62,,01/17/2023,LA
1111,Alice,,,01/17/2023,NY
1038,Bob,21,user.name@site.org,2023-01-15,NY
1247,,,example@domain.com,01/17/2023,New York
1621,Charlie,92,user.name@site.org,2023-01-15,
1013,Charlie,97,user.name@site.org,01/17/2023,New York
1813,Charlie,33,,Invalid Date,
1279,Charlie,35,invalid@,01/17/2023,SF
1749,Eve,6,,15-01-2023,San Francisco
1433,Charlie,55,,2023-01-15,New York
1268,,,user.name@site.org,2023-01-16,LA
1045,Frank,36,,01/17/2023,New York
1076,Charlie,68,user.name@site.org,Invalid Date,New York
1548,Charlie,79,,01/17/2023,
1486,Eve,52,example@domain.com,2023-01-16,New York
1571,,16,user.name@site.org,Invalid Date,San Francisco
1511,Alice,9,,15-01-2023,Los Angeles
1003,,11,,2023-01-15,LA
1468,Bob,,invalid@,Invalid Date,SF
1294,Bob,91,example@domain.com,Invalid Date,
1522,Diana,,user.name@site.org,2023-01-15,New York
1783,Alice,87,,01/17/2023,NY
1363,Eve,82,invalid@,01/17/2023,LA
1324,Diana,,,01/17/2023,
1863,,37,,2023-01-16,NY
1995,Diana,38,,01/17/2023,New York
1247,Diana,28,user.name@site.org,2023-01-16,Los Angeles
1229,Charlie,21,user.name@site.org,2023-01-16,San Francisco
1832,Eve,,example@domain.com,15-01-2023,San Francisco
1759,Frank,34,,15-01-2023,
1287,Alice,,user.name@site.org,01/17/2023,
1945,Bob,2,example@domain.com,2023-01-16,New York
1399,Frank,45,user.name@site.org,15-01-2023,SF
1509,Alice,51,example@domain.com,Invalid Date,Los Angeles
1002,Eve,82,,Invalid Date,LA
1164,Bob,27,,15-01-2023,
1658,Diana,16,example@domain.com,01/17/2023,SF
1765,Alice,88,,2023-01-16,SF
1690,Eve,,,01/17/2023,New York
1722,Charlie,10,invalid@,Invalid Date,LA
1193,Eve,93,example@domain.com,2023-01-16,NY
1545,Charlie,26,,Invalid Date,SF
1171,Alice,68,example@domain.com,2023-01-15,
1214,Diana,61,,2023-01-16,SF
1753,,10,,2023-01-15,New York
1730,Bob,48,example@domain.com,01/17/2023,LA
1196,Charlie,62,example@domain.com,Invalid Date,SF
1227,Charlie,32,,2023-01-15,SF
1464,Bob,85,,01/17/2023,NY
1945,,62,,01/17/2023,LA
1227,Frank,40,user.name@site.org,15-01-2023,San Francisco
1881,Alice,89,user.name@site.org,Invalid Date,SF
1579,Bob,,invalid@,2023-01-15,NY
1226,Diana,22,example@domain.com,Invalid Date,
1802,Charlie,81,example@domain.com,01/17/2023,SF
1040,Eve,,user.name@site.org,Invalid Date,LA
1640,Alice,20,invalid@,Invalid Date,NY
1109,Diana,,,2023-01-15,
1073,,2,invalid@,Invalid Date,LA
1152,Bob,,example@domain.com,15-01-2023,New York
